Feature,Importance
Mean_NPK,0.1922156
K,0.124740295
rainfall,0.11980107
P,0.0989506
N_K_Ratio,0.09165034
humidity,0.081580356
Rainfall_Humidity_Index,0.08077483
Total_NPK,0.07650402
P_K_Ratio,0.06866878
N,0.06511409
