Feature,Importance
humidity,5593
rainfall,4835
P,4762
Temperature_Humidity_Index,4759
Rainfall_Humidity_Index,4390
N_K_Ratio,4381
K,4207
P_K_Ratio,3951
Total_NPK,3911
Mean_NPK,347
