Feature,Importance
Mean_NPK,0.14006788
K,0.13302784
rainfall,0.11612397
Rainfall_Humidity_Index,0.09962924
humidity,0.099522285
N,0.09372022
P,0.09324793
Total_NPK,0.085642554
P_K_Ratio,0.07458662
Temperature_Humidity_Index,0.064431466
