Feature,Importance
humidity,0.1613167854731883
rainfall,0.15788375492833742
Rainfall_Humidity_Index,0.12621367892248145
K,0.11725207219238885
P,0.08893259928730424
Temperature_Humidity_Index,0.07850132985488473
Total_NPK,0.07261859937010699
Mean_NPK,0.06955688100267864
N,0.06750445723044556
P_K_Ratio,0.06021984173818389
