Feature,Importance
rainfall,0.15981739876723924
humidity,0.15242625282357197
Rainfall_Humidity_Index,0.12546155959137242
K,0.11466305479552671
P,0.09052110671171183
Mean_NPK,0.08029520115247683
Temperature_Humidity_Index,0.07676273284529449
Total_NPK,0.0761307196028343
P_K_Ratio,0.06209235649141197
N_K_Ratio,0.06182961721856033
